Sr. No.,College Name,University Name,District,Taluka,Exclusively in Womens Colleges,College Types,"(Report no 5)
Whether Minority Institution (Yes/No)","Linguistic/
Religious_Type",JD Region,Correspondence Address,Email,Contact Phone 1,Contact Phone 2,Mobile,Principal Name,College Type
1,Banik Inc College of Arts & Science,Shivaji University,Nashik,Karjat,Girls Only,Urban,No,Select,Nagpur,"342, Tara Nagar, Ambarnath-916739",shlok17@sane.info,+914340925950,4972243133,+918328413870,Dr. Adira Sood,Non-Aided
2,Singhal-Zachariah College of Arts & Science,North Maharashtra University,Nashik,Nanded,Girls Only,Rural,Yes,Select,Nashik,"816, Kamdar Street, Kumbakonam 115958",uppalyuvraj@sibal.com,+919014970151,1850906261,07962372206,Dr. Keya Devi,Aided
3,Chana and Sons College of Arts & Science,Shivaji University,Solapur,Haveli,Co-Education,Rural,No,Select,Nagpur,"48, Tara Nagar, Jehanabad 837947",kiaan22@chandran.com,+918405431666,0547758519,+916147697268,Dr. Shalv Chada,Non-Aided
4,Deep-Bhatt College of Arts & Science,Savitribai Phule Pune University,Nashik,Dharavi,Co-Education,Rural,Yes,Select,Nashik,"H.No. 51, Karpe Path, Bidhannagar 977975",nirvaanbir@dani.biz,+911363396719,08557114450,+915059352008,Dr. Faiyaz Bumb,Non-Aided
5,"Wadhwa, Sehgal and Sood College of Arts & Science",North Maharashtra University,Nagpur,Haveli,Co-Education,Urban,Yes,Select,Aurangabad,"04, Borde Ganj, Anantapuram-002467",yuvaanyadav@aurora.biz,+915899623622,7380307849,+915712904682,Dr. Kanav Kunda,Aided
6,Babu-Bedi College of Arts & Science,Mumbai University,Solapur,Parvati,Girls Only,Rural,Yes,Select,Nashik,"35/21, Wali Ganj, Vijayawada 196192",drajan@shukla-ramakrishnan.com,03556850797,8686269843,04273217123,Dr. Armaan Dey,Aided
7,Chandra PLC College of Arts & Science,North Maharashtra University,Nashik,Nanded,Co-Education,Urban,No,Select,Pune,"55/351, Dugar Street, Nandyal 212214",dharmajanmann@din-singh.com,+915289876745,1368933099,04311938303,Dr. Advik Buch,Aided
8,Korpal-Chakraborty College of Arts & Science,Shivaji University,Nashik,Dharavi,Co-Education,Urban,No,Select,Nashik,"91/32, Choudhry Ganj, Jabalpur-243814",gatik90@raja-sama.com,07373394532,00108480163,+912322988735,Dr. Shaan Goda,Aided
9,"Shroff, Iyer and Malhotra College of Arts & Science",Nagpur University,Mumbai,Dharavi,Girls Only,Rural,Yes,Select,Pune,"69/20, Sastry, Patna-638981",armaananand@kuruvilla.com,+916789148921,+913472056825,07768804211,Dr. Hansh Mangat,Non-Aided
10,Virk PLC College of Arts & Science,Mumbai University,Nashik,Parvati,Co-Education,Urban,No,Select,Mumbai,"H.No. 55, Kala Zila, Loni 231602",ivanajani@sampath.com,3957025088,+910598458815,0417612183,Dr. Divij Suresh,Aided
11,Dara-Dugal College of Arts & Science,Nagpur University,Nagpur,Haveli,Girls Only,Urban,Yes,Select,Nashik,"680, Krishnamurthy Ganj, Anand 442086",aaravwable@tank.info,09195797444,+910452311489,1813768944,Dr. Kaira Madan,Aided
12,"Gour, Lata and Sha College of Arts & Science",Nagpur University,Nashik,Nanded,Girls Only,Urban,Yes,Select,Mumbai,"H.No. 08, Raman Ganj, Khammam 232835",pihu13@bobal.com,03356628475,+915078336447,02614058539,Dr. Tejas Vig,Aided
13,Dave-Lall College of Arts & Science,Shivaji University,Mumbai,Nanded,Girls Only,Urban,Yes,Select,Pune,"H.No. 805, Krishna Circle, Meerut 669017",aniruddh18@tank.com,4178007590,06414929803,06847606168,Dr. Indranil Lall,Aided
14,Kohli-Walla College of Arts & Science,Savitribai Phule Pune University,Solapur,Andheri,Girls Only,Rural,No,Select,Nashik,"H.No. 47, Wali Nagar, Anantapur-729210",adahraju@thaman.net,+910695040308,+911054548493,6030219702,Dr. Akarsh Krishna,Non-Aided
15,"Bobal, Mander and Kurian College of Arts & Science",Nagpur University,Pune,Haveli,Co-Education,Rural,No,Select,Aurangabad,"H.No. 84, Tank Road, Khandwa-099179",dassvedika@dube-dubey.com,+915377815673,08691889934,03471269948,Dr. Nirvaan Sagar,Aided
16,Srinivas-Virk College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Mumbai,Dharavi,Co-Education,Urban,Yes,Select,Pune,"10/864, Shukla Path, Jalgaon-258110",hazel72@ramesh.com,04619834416,03128495085,1052823005,Dr. Fateh Comar,Non-Aided
17,Yohannan Group College of Arts & Science,North Maharashtra University,Nashik,Nanded,Girls Only,Urban,No,Select,Nagpur,"H.No. 23, Brar Street, Sultan Pur Majra-916668",hsarin@sampath-majumdar.com,03529089377,+912194643292,07192367618,Dr. Arhaan Zachariah,Aided
18,"Bakshi, Sehgal and Sur College of Arts & Science",Dr. Babasaheb Ambedkar Marathwada University,Nashik,Dharavi,Co-Education,Urban,Yes,Select,Nashik,"38/090, Lad Zila, Bijapur 738521",saanvithakur@aurora.com,+914393008806,09450353590,3643755512,Dr. Arhaan Lad,Aided
19,Datta-Tara College of Arts & Science,Shivaji University,Nagpur,Nanded,Co-Education,Rural,No,Select,Nagpur,"54/117, Kothari Marg, Mango 436190",vedika44@gour.org,+911313542703,07312230239,8851548721,Dr. Faiyaz Sachdev,Non-Aided
20,Walla PLC College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Dharavi,Girls Only,Urban,Yes,Select,Nagpur,"528, Kibe Marg, Maheshtala-102274",hvarughese@master-bhakta.com,+912730627256,+919146662032,9466713615,Dr. Dhruv Sandhu,Aided
21,Suresh-Tank College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Solapur,Karjat,Girls Only,Urban,No,Select,Nashik,"34/616, Badal Street, Muzaffarnagar-308756",ebehl@ramanathan-dora.org,0153289076,08182448291,8345357595,Dr. Rohan Edwin,Aided
22,Roy and Sons College of Arts & Science,Nagpur University,Pune,Andheri,Girls Only,Urban,No,Select,Nashik,"46, Gole, Durg 291775",xchakraborty@kala.com,2872766631,4497730583,4468140968,Dr. Ryan Chanda,Non-Aided
23,Wali Inc College of Arts & Science,Nagpur University,Pune,Parvati,Co-Education,Rural,Yes,Select,Aurangabad,"H.No. 264, Balan Path, Mangalore-577565",mkhanna@mander.info,+914289559343,03625130865,+914093767874,Dr. Neysa Borde,Aided
24,"Dugar, Tailor and Reddy College of Arts & Science",North Maharashtra University,Solapur,Nanded,Co-Education,Urban,Yes,Select,Nagpur,"H.No. 32, Sibal Nagar, Coimbatore-668405",mahika44@soman.com,+914753826622,05423630460,+910897224472,Dr. Tejas Kumer,Non-Aided
25,Savant-Upadhyay College of Arts & Science,Shivaji University,Mumbai,Parvati,Co-Education,Urban,Yes,Select,Aurangabad,"H.No. 89, Johal Chowk, Etawah-709192",chawlakiara@mani.com,+916827577010,+910218430626,5162617496,Dr. Trisha Mand,Non-Aided
26,Saraf PLC College of Arts & Science,North Maharashtra University,Solapur,Haveli,Co-Education,Urban,No,Select,Aurangabad,"H.No. 852, Apte Road, Chapra-357192",keyakibe@sarin.com,+912497748739,+913911828506,2152576647,Dr. Nirvaan De,Aided
27,"Sibal, Choudhury and Ghosh College of Arts & Science",Dr. Babasaheb Ambedkar Marathwada University,Nashik,Dharavi,Co-Education,Rural,No,Select,Pune,"H.No. 534, Salvi, Srinagar-522539",priyansh24@ramakrishnan.com,00690396307,07466531097,8239336359,Dr. Kanav Deo,Non-Aided
28,"Bhat, Bawa and Shere College of Arts & Science",Mumbai University,Aurangabad,Dharavi,Girls Only,Urban,No,Select,Mumbai,"18/46, Chandra Marg, Mysore-029396",tbava@sura.com,07952743599,+913331134252,3226469327,Dr. Anaya Batta,Aided
29,Lal-Loyal College of Arts & Science,Shivaji University,Nashik,Haveli,Girls Only,Rural,Yes,Select,Nagpur,"73, Gala Chowk, Bhatpara 398810",laljivika@cheema.com,+919405741692,4594359136,+919571839819,Dr. Kanav Tank,Aided
30,Kakar LLC College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Pune,Haveli,Girls Only,Rural,Yes,Select,Solapur,"71/649, Shukla Nagar, Jalna 038532",mishti13@char.com,+919019648921,1067903095,9700810291,Dr. Yakshit Dutta,Non-Aided
31,Sood-Dhingra College of Arts & Science,Shivaji University,Nashik,Andheri,Girls Only,Rural,No,Select,Mumbai,"H.No. 888, Kota Nagar, Gorakhpur-083051",prerakbawa@soman.info,+910736475316,05723972420,03434028669,Dr. Tiya Gaba,Aided
32,"Brar, Lala and Setty College of Arts & Science",Dr. Babasaheb Ambedkar Marathwada University,Solapur,Parvati,Girls Only,Rural,No,Select,Nashik,"64, Dara Street, Karnal 387809",vbala@sarraf-dhar.com,07083200446,09733947312,1029090528,Dr. Nirvi Goel,Aided
33,Sawhney PLC College of Arts & Science,Savitribai Phule Pune University,Mumbai,Andheri,Girls Only,Urban,No,Select,Pune,"094, Brahmbhatt Street, Kulti-689732",purabbhavsar@tandon.com,02523568402,6477771176,04095055099,Dr. Rania Talwar,Non-Aided
34,Rege-Boase College of Arts & Science,Nagpur University,Nagpur,Dharavi,Girls Only,Rural,No,Select,Pune,"995, Sabharwal Ganj, Bellary 898051",shayak48@dora.info,9920463550,+913165837714,+916058741594,Dr. Anahita Dixit,Non-Aided
35,"Chandra, Bedi and Wali College of Arts & Science",Dr. Babasaheb Ambedkar Marathwada University,Mumbai,Dharavi,Girls Only,Urban,Yes,Select,Mumbai,"H.No. 19, Varty Circle, Shimoga 422178",garaalia@khanna.biz,07958202699,07897331751,+912288374427,Dr. Shray Borra,Aided
36,"Kanda, Varty and Kapadia College of Arts & Science",Shivaji University,Mumbai,Nanded,Girls Only,Rural,No,Select,Solapur,"533, Jha Nagar, Malegaon 835626",cheemaazad@khare.com,+910589106386,07353099025,06463751601,Dr. Kartik Bhalla,Non-Aided
37,Johal-Mangat College of Arts & Science,Savitribai Phule Pune University,Mumbai,Dharavi,Girls Only,Urban,No,Select,Nashik,"63, Zacharia Chowk, Siwan 399196",karnikpiya@kuruvilla-thaker.com,09691970725,01540124040,+911967877590,Dr. Heer Bajaj,Non-Aided
38,"Baral, Agarwal and Deshmukh College of Arts & Science",Savitribai Phule Pune University,Pune,Haveli,Co-Education,Rural,No,Select,Solapur,"60/214, Loyal Nagar, Bettiah-863981",raunak22@kulkarni.com,7668784288,06284118051,9654409982,Dr. Armaan Sethi,Non-Aided
39,"Dhingra, Ganesan and Tank College of Arts & Science",Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Dharavi,Girls Only,Urban,No,Select,Nashik,"08, Seshadri Marg, Danapur 465024",riaan63@tak-cheema.org,6993520203,01906247268,00932677521,Dr. Bhamini Goel,Aided
40,"Hegde, Biswas and Bose College of Arts & Science",Mumbai University,Solapur,Parvati,Co-Education,Rural,No,Select,Mumbai,"H.No. 759, Chaudhari, Bhiwandi 319180",indraniltata@bera-dayal.com,7918890563,1670025533,08049815703,Dr. Mehul Bhavsar,Non-Aided
41,"Bhatia, Samra and Dhillon College of Arts & Science",North Maharashtra University,Solapur,Andheri,Co-Education,Urban,No,Select,Pune,"74/010, Raval, Yamunanagar-895148",rheagaba@bajwa.org,4016698344,4237798419,04201585363,Dr. Yuvraj  Zacharia,Aided
42,Deo-Anne College of Arts & Science,Shivaji University,Nashik,Nanded,Co-Education,Urban,Yes,Select,Solapur,"544, Bose Path, Bhatpara 634196",ksen@buch.com,+910492411489,05508093004,05113176849,Dr. Ahana  Thakkar,Aided
43,Borde Inc College of Arts & Science,Mumbai University,Solapur,Haveli,Co-Education,Rural,Yes,Select,Mumbai,"97/58, Walia Path, Gandhinagar-186274",vbhatnagar@chowdhury-sanghvi.com,0018106467,0427325568,+919726971629,Dr. Heer Thakkar,Non-Aided
44,Comar Group College of Arts & Science,North Maharashtra University,Aurangabad,Nanded,Co-Education,Urban,No,Select,Mumbai,"14/437, Khosla Ganj, Dehradun 090760",rattanzaina@varughese.com,+912167846609,+911358734527,08875581275,Dr. Aaina Dyal,Non-Aided
45,Batta Group College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Solapur,Haveli,Co-Education,Urban,Yes,Select,Mumbai,"43/97, Rattan Road, Panipat 646224",taimursani@taneja-bhagat.com,+917571507068,06942879401,2047513413,Dr. Tarini Reddy,Non-Aided
46,Bhatnagar Ltd College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Andheri,Co-Education,Urban,No,Select,Solapur,"40/84, Dass Circle, Singrauli-277377",gandhiyashvi@bahl.biz,01412417703,03862301815,6903975534,Dr. Navya Vig,Non-Aided
47,Savant Inc College of Arts & Science,Mumbai University,Mumbai,Haveli,Girls Only,Rural,Yes,Select,Nagpur,"H.No. 36, Barad Nagar, Gandhinagar-125428",wtak@bhandari.net,+911886885030,+913271792663,2689461159,Dr. Pranay Handa,Non-Aided
48,Lal-Karpe College of Arts & Science,Shivaji University,Solapur,Haveli,Girls Only,Rural,No,Select,Nashik,"H.No. 117, Dhaliwal Chowk, Panipat-356078",asaxena@karan-ravel.info,7306210494,1301847621,8753239983,Dr. Parinaaz D’Alia,Non-Aided
49,Shan-Shetty College of Arts & Science,Mumbai University,Solapur,Parvati,Co-Education,Urban,Yes,Select,Pune,"499, Goel Path, Hazaribagh-026609",dishanikrishna@suresh.com,03544177559,4754377999,+910862606044,Dr. Suhana Kaur,Aided
50,Ram Group College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Karjat,Co-Education,Urban,Yes,Select,Nashik,"H.No. 367, Deep Nagar, Phusro 762338",andramanikya@arya.org,+919787119945,06647365435,8946172305,Dr. Vihaan Chadha,Aided
51,"Bassi, Lanka and Guha College of Arts & Science",North Maharashtra University,Nashik,Parvati,Girls Only,Rural,Yes,Select,Aurangabad,"H.No. 60, Rattan Marg, Alappuzha-436910",ysahota@dhaliwal-sandhu.com,8848605662,6763513724,7982086417,Dr. Aradhya Virk,Non-Aided
52,Kalita LLC College of Arts & Science,Mumbai University,Mumbai,Karjat,Girls Only,Urban,Yes,Select,Mumbai,"60/987, Bail Chowk, Akola 082135",kiaanacharya@sengupta.com,02639422298,+915377171335,2344269590,Dr. Nishith Walia,Aided
53,Iyer-Jain College of Arts & Science,Shivaji University,Solapur,Haveli,Girls Only,Urban,No,Select,Mumbai,"45/13, Kata Street, Ongole-981717",lagan71@bandi-de.com,5990605044,1196729334,03462889557,Dr. Ivana Biswas,Aided
54,Sandal Ltd College of Arts & Science,Nagpur University,Aurangabad,Nanded,Co-Education,Rural,Yes,Select,Mumbai,"H.No. 46, Bakshi Nagar, Chittoor 753455",ivan73@atwal-sant.com,6931351593,09962207703,+919096533726,Dr. Inaaya  Kashyap,Aided
55,Rao PLC College of Arts & Science,Savitribai Phule Pune University,Solapur,Andheri,Co-Education,Rural,No,Select,Solapur,"H.No. 76, Ahluwalia Ganj, Sangli-Miraj & Kupwad 822786",nakul19@setty.com,+917771287438,04844845373,5671385332,Dr. Manikya Thakur,Aided
56,Choudhary-Gola College of Arts & Science,North Maharashtra University,Nashik,Andheri,Co-Education,Urban,Yes,Select,Nashik,"429, Sarkar, Varanasi 998855",butaladishani@bandi-kumer.com,5692985672,08919728643,09028980389,Dr. Manikya Jayaraman,Non-Aided
57,Rout and Sons College of Arts & Science,Mumbai University,Aurangabad,Parvati,Co-Education,Rural,No,Select,Pune,"23/313, Rajan Chowk, Dhanbad-742405",ahana-chatterjee@sankar.com,+912417782735,+918588873988,9586051141,Dr. Kashvi Sarraf,Non-Aided
58,Balay-Madan College of Arts & Science,Mumbai University,Aurangabad,Dharavi,Co-Education,Urban,No,Select,Mumbai,"65, Bora Zila, Guntur-491613",fbutala@rajagopalan.com,09521446016,08305698866,0375809621,Dr. Aaryahi Agarwal,Aided
59,"Chaudhuri, Loke and Luthra College of Arts & Science",Nagpur University,Aurangabad,Karjat,Co-Education,Rural,Yes,Select,Nagpur,"H.No. 40, Koshy Nagar, Faridabad-087976",kchandran@behl.com,+917255936143,04186859096,07217392497,Dr. Nakul Chaudry,Aided
